iter	Logloss
0	0.6862980809
1	0.6795146123
2	0.672615862
3	0.6662615337
4	0.6599403243
5	0.6537372298
6	0.6474718841
7	0.6417413119
8	0.6360309538
9	0.6305878787
10	0.6253148803
11	0.6199882272
12	0.6151740942
13	0.6099404426
14	0.6051967895
15	0.6005741041
16	0.5959421441
17	0.5915333358
18	0.587105347
19	0.5833253033
20	0.5794380021
21	0.5755238237
22	0.571676996
23	0.5678936291
24	0.5642237961
25	0.5607589608
26	0.5571221164
27	0.5537360257
28	0.5508589447
29	0.5477774489
30	0.5446655669
31	0.5415734318
32	0.5386190248
33	0.5357392133
34	0.5328426344
35	0.5302756863
36	0.5276666135
37	0.5252694831
38	0.5228730691
39	0.5202678087
40	0.517932628
41	0.5156553325
42	0.5133432326
43	0.5112801532
44	0.5091160503
45	0.5070072856
46	0.5049315913
47	0.5028826801
48	0.5010233485
49	0.4991345905
50	0.4973341443
51	0.4954458196
52	0.4936181404
53	0.4918505615
54	0.4904858646
55	0.4889953914
56	0.4874030103
57	0.4858654003
58	0.4843270415
59	0.4828168851
60	0.4814664927
61	0.4800613891
62	0.4785755896
63	0.477098942
64	0.4758969956
65	0.4746722576
66	0.4735490872
67	0.4722746049
68	0.4710822563
69	0.469900241
70	0.4688050199
71	0.4677585098
72	0.466606633
73	0.4654091043
74	0.4643191376
75	0.4633897268
76	0.4623896084
77	0.4614475882
78	0.4604739204
79	0.4594188728
80	0.4585135693
81	0.4575575583
82	0.4566324248
83	0.4558634721
84	0.45510737
85	0.4542535998
86	0.4533367224
87	0.4524899075
88	0.4517392932
89	0.4509961279
90	0.4502479303
91	0.4496302404
92	0.4489226017
93	0.44811734
94	0.44741384
95	0.4467151503
96	0.4459946905
97	0.4452889958
98	0.4446515596
99	0.4440985245
100	0.4434685758
101	0.4428166618
102	0.4422898481
103	0.4416079507
104	0.4410261064
105	0.440516315
106	0.4399539344
107	0.4394744295
108	0.4388968328
109	0.4383859728
110	0.437827362
111	0.4373229941
112	0.4368057893
113	0.4362875014
114	0.4357647981
115	0.4353527248
116	0.4348870218
117	0.4343989107
118	0.4339865334
119	0.4335857837
120	0.4330994398
121	0.4326548035
122	0.4321805704
123	0.4318393674
124	0.43143272
125	0.4309967293
126	0.4306064521
127	0.4302270454
128	0.4297286453
129	0.4293398368
130	0.4289633618
131	0.4286648438
132	0.428219106
133	0.4279147079
134	0.4275593242
135	0.427211769
136	0.4268447672
137	0.4264788124
138	0.4260979516
139	0.4257429522
140	0.4253307813
141	0.4249596963
142	0.4246531345
143	0.4244137349
144	0.4241268404
145	0.4238267964
146	0.4234954244
147	0.4231991466
148	0.4228824777
149	0.4225489645
150	0.4222010423
151	0.4218745977
152	0.4215379861
153	0.4212314324
154	0.4209413341
155	0.420710559
156	0.4204446768
157	0.4201547018
158	0.4198313434
159	0.4195356846
160	0.4193193079
161	0.419030145
162	0.4187895122
163	0.4184904415
164	0.4182189571
165	0.4180315676
166	0.4177567829
167	0.4175247137
168	0.4172895592
169	0.4170469677
170	0.4168262258
171	0.4166398073
172	0.4164497684
173	0.416286215
174	0.4161041724
175	0.4158330858
176	0.4155908141
177	0.415341149
178	0.4151259621
179	0.4149133913
180	0.4147326335
181	0.4145469932
182	0.4142934694
183	0.4140353173
184	0.4138705236
185	0.4136711375
186	0.4134718417
187	0.4132616714
188	0.4130731911
189	0.4128987791
190	0.4126930851
191	0.4125193436
192	0.4123060503
193	0.4121009425
194	0.4119109752
195	0.4117608214
196	0.4116067776
197	0.4115697881
198	0.4113779934
199	0.4112099636
200	0.41099125
201	0.4108629365
202	0.410682193
203	0.4105170797
204	0.4103743732
205	0.4101929365
206	0.4100917015
207	0.4099155393
208	0.4097359898
209	0.4095297027
210	0.4093500138
211	0.4092224615
212	0.40902409
213	0.4088374177
214	0.4086805521
215	0.4085052649
216	0.408394271
217	0.4082599356
218	0.4081090033
219	0.4079827394
220	0.4078503592
221	0.4077150872
222	0.4075979828
223	0.4074456563
224	0.4073404188
225	0.4072083762
226	0.4070534896
227	0.4069475606
228	0.4068327156
229	0.4066658453
230	0.4065170202
231	0.406409796
232	0.4062348256
233	0.4061088227
234	0.4059857443
235	0.4058686629
236	0.4057783532
237	0.4056340535
238	0.4054601621
239	0.4053803417
240	0.405248456
241	0.4051067877
242	0.4049909001
243	0.4048598828
244	0.4047338755
245	0.4046419571
246	0.4045053525
247	0.4043739198
248	0.4042052289
249	0.4040550569
250	0.4039231178
251	0.4038232361
252	0.4037504275
253	0.4036260249
254	0.4035233272
255	0.4033628694
256	0.4032866442
257	0.403189606
258	0.403101107
259	0.4029628449
260	0.4028499914
261	0.4027197441
262	0.4026180719
263	0.4025327328
264	0.4024476729
265	0.4023342265
266	0.402181857
267	0.4020431553
268	0.4019448764
269	0.4018742612
270	0.4017574111
271	0.4016800635
272	0.4015772833
