iter	Passed	Remaining
0	16	8454
1	22	5587
2	26	4424
3	33	4096
4	40	4040
5	47	3928
6	53	3746
7	61	3758
8	65	3575
9	71	3489
10	79	3523
11	85	3493
12	91	3422
13	95	3302
14	99	3215
15	104	3158
16	110	3135
17	116	3115
18	120	3053
19	126	3030
20	132	3012
21	138	3016
22	144	3002
23	149	2956
24	152	2901
25	157	2862
26	162	2840
27	166	2808
28	172	2799
29	179	2806
30	185	2803
31	190	2786
32	194	2751
33	199	2738
34	207	2753
35	212	2736
36	219	2744
37	225	2746
38	231	2739
39	238	2739
40	245	2745
41	250	2730
42	254	2702
43	258	2677
44	263	2663
45	270	2672
46	275	2658
47	284	2675
48	288	2652
49	293	2640
50	300	2647
51	307	2647
52	312	2637
53	318	2630
54	322	2610
55	332	2635
56	339	2638
57	345	2633
58	351	2625
59	361	2647
60	367	2643
61	375	2651
62	381	2647
63	387	2640
64	392	2624
65	398	2618
66	404	2612
67	410	2609
68	415	2598
69	421	2588
70	428	2590
71	434	2584
72	441	2583
73	446	2572
74	451	2556
75	458	2555
76	463	2544
77	469	2538
78	475	2536
79	480	2524
80	486	2515
81	494	2518
82	501	2517
83	508	2517
84	513	2507
85	517	2489
86	523	2483
87	528	2475
88	535	2473
89	540	2464
90	545	2449
91	548	2434
92	558	2443
93	569	2461
94	575	2453
95	581	2448
96	589	2450
97	596	2447
98	603	2446
99	609	2436
100	615	2431
101	623	2433
102	629	2426
103	634	2415
104	639	2404
105	643	2390
106	649	2385
107	658	2391
108	664	2381
109	669	2374
110	679	2380
111	687	2380
112	691	2369
113	696	2358
114	703	2355
115	709	2348
116	717	2349
117	724	2346
118	729	2335
119	737	2335
120	742	2324
121	748	2318
122	754	2313
123	761	2308
124	767	2302
125	773	2295
126	778	2286
127	783	2276
128	789	2270
129	794	2262
130	799	2252
131	804	2243
132	810	2236
133	815	2227
134	822	2222
135	827	2213
136	830	2201
137	834	2189
138	839	2179
139	844	2171
140	852	2170
141	857	2162
142	862	2152
143	865	2139
144	869	2129
145	877	2128
146	882	2119
147	888	2113
148	895	2110
149	901	2103
150	907	2098
151	913	2090
152	920	2087
153	925	2080
154	930	2070
155	936	2064
156	952	2079
157	958	2074
158	962	2064
159	971	2064
160	980	2065
161	986	2058
162	992	2051
163	996	2041
164	1005	2040
165	1010	2033
166	1016	2026
167	1021	2019
168	1025	2009
169	1029	1998
170	1035	1992
171	1046	1995
172	1053	1990
173	1056	1979
174	1060	1970
175	1065	1960
176	1071	1954
177	1075	1945
178	1081	1939
179	1085	1930
180	1089	1920
181	1094	1912
182	1102	1909
183	1109	1904
184	1116	1900
185	1120	1891
186	1123	1881
187	1131	1877
188	1137	1871
189	1144	1867
190	1151	1862
191	1156	1854
192	1159	1845
193	1166	1840
194	1171	1832
195	1179	1829
196	1183	1820
197	1187	1811
198	1191	1801
199	1197	1796
200	1207	1795
201	1214	1792
202	1222	1788
203	1228	1782
204	1236	1779
205	1242	1772
206	1248	1767
207	1252	1758
208	1257	1751
209	1263	1745
210	1268	1737
211	1272	1729
212	1276	1720
213	1281	1712
214	1286	1705
215	1292	1698
216	1297	1691
217	1302	1684
218	1306	1676
219	1310	1667
220	1314	1660
221	1318	1651
222	1323	1643
223	1328	1636
224	1333	1629
225	1337	1622
226	1342	1614
227	1345	1605
228	1350	1598
229	1354	1590
230	1359	1583
231	1363	1575
232	1369	1569
233	1373	1561
234	1377	1553
235	1381	1545
236	1384	1536
237	1389	1529
238	1396	1524
239	1402	1519
240	1408	1514
241	1412	1506
242	1417	1498
243	1421	1491
244	1425	1483
245	1430	1477
246	1434	1469
247	1438	1461
248	1442	1454
249	1446	1446
250	1451	1439
251	1458	1435
252	1462	1427
253	1466	1420
254	1470	1412
255	1474	1405
256	1478	1397
257	1481	1389
258	1486	1382
259	1490	1376
260	1495	1369
261	1499	1361
262	1503	1354
263	1507	1347
264	1510	1339
265	1514	1332
266	1519	1325
267	1525	1320
268	1529	1313
269	1534	1306
270	1537	1299
271	1541	1291
272	1545	1284
273	1547	1276
274	1552	1270
275	1556	1263
276	1561	1256
277	1565	1250
278	1569	1243
279	1573	1236
280	1578	1230
281	1585	1225
282	1589	1218
283	1593	1212
284	1597	1205
285	1601	1198
286	1605	1191
287	1609	1184
288	1614	1178
289	1619	1172
290	1624	1166
291	1628	1159
292	1632	1153
293	1635	1145
294	1639	1139
295	1644	1133
296	1648	1126
297	1653	1120
298	1659	1115
299	1663	1108
300	1666	1101
301	1671	1095
302	1674	1088
303	1680	1083
304	1685	1077
305	1690	1071
306	1694	1065
307	1699	1059
308	1763	1090
309	1797	1101
310	1820	1106
311	1831	1103
312	1838	1098
313	1850	1096
314	1861	1093
315	1866	1086
316	1877	1084
317	1892	1083
318	1919	1089
319	2008	1129
320	2038	1136
321	2099	1160
322	2140	1173
323	2155	1171
324	2168	1167
