PRICE,SOURCE,SEX,COUNTRY,AGE
0,39,android,male,bra,17
1,39,android,male,bra,17
2,49,android,male,bra,17
3,29,android,male,tur,17
4,49,android,male,tur,17
5,29,android,male,bra,17
6,19,android,male,bra,17
7,59,android,male,bra,17
8,49,android,male,bra,17
9,19,android,male,bra,17
10,49,android,male,bra,17
11,39,android,male,bra,17
12,19,android,male,bra,17
13,49,android,male,bra,17
14,39,android,male,bra,17
15,49,android,male,bra,17
16,29,android,male,bra,17
17,29,android,female,usa,26
18,9,android,female,usa,26
19,49,ios,female,bra,26
20,19,ios,female,bra,26
21,29,ios,female,bra,26
22,49,ios,female,bra,26
23,49,ios,female,bra,26
24,19,android,female,usa,23
25,19,android,female,usa,23
26,39,android,female,usa,23
27,29,android,female,usa,23
28,19,android,female,usa,23
29,49,android,female,usa,23
30,49,android,female,usa,23
31,49,android,female,usa,23
32,29,android,female,usa,23
33,39,android,female,can,15
34,59,android,female,bra,19
35,39,android,female,bra,19
36,29,android,female,bra,19
37,49,android,female,bra,19
38,49,android,female,bra,19
39,29,android,male,usa,21
40,49,android,male,usa,21
41,49,android,male,usa,21
42,39,android,female,deu,16
43,19,android,female,deu,16
44,29,android,female,deu,16
45,19,android,female,deu,16
46,29,android,female,deu,16
47,49,android,female,usa,35
48,49,android,female,usa,35
49,19,android,female,usa,26
50,29,android,female,usa,26
51,59,android,female,usa,26
52,29,android,female,usa,26
53,39,android,female,usa,26
54,39,android,female,usa,26
55,29,ios,female,bra,23
56,19,ios,female,bra,23
57,49,ios,female,bra,23
58,19,ios,male,tur,42
59,39,ios,male,tur,42
60,39,ios,male,tur,42
61,19,ios,male,tur,42
62,29,ios,male,tur,42
63,19,ios,male,tur,42
64,19,ios,male,tur,42
65,49,ios,male,tur,42
66,9,ios,male,tur,42
67,29,ios,male,tur,42
68,39,android,male,usa,17
69,19,android,male,usa,17
70,49,android,male,usa,17
71,39,ios,male,usa,15
72,9,ios,male,usa,15
73,49,ios,male,usa,15
74,39,ios,male,usa,15
75,39,ios,male,usa,15
76,19,ios,male,usa,15
77,59,ios,male,usa,15
78,29,ios,male,usa,15
79,39,ios,male,usa,15
80,29,ios,male,usa,15
81,39,ios,male,usa,15
82,19,ios,male,usa,15
83,39,ios,male,usa,15
84,39,ios,male,usa,15
85,49,android,male,deu,15
86,39,android,male,deu,15
87,49,android,male,bra,40
88,29,android,male,bra,40
89,49,android,male,bra,40
90,49,android,male,bra,40
91,9,android,male,bra,40
92,49,android,female,usa,49
93,49,android,female,usa,49
94,49,android,female,usa,49
95,19,android,female,usa,49
96,29,android,female,usa,49
97,29,android,female,tur,17
98,49,android,female,tur,17
99,29,android,female,tur,17
100,39,android,female,tur,17
101,9,android,female,tur,17
102,19,android,female,tur,17
103,19,android,female,tur,17
104,49,android,female,tur,17
105,39,android,female,tur,17
106,39,ios,female,usa,23
107,29,ios,female,usa,23
108,49,ios,female,usa,23
109,39,android,male,usa,34
110,19,android,male,usa,34
111,49,ios,female,usa,18
112,49,ios,male,tur,42
113,49,ios,male,tur,42
114,39,ios,male,tur,42
