Rating,Timestamp,Enrolled,Progress,Questions Asked,Questions Answered
5.0,2021-02-05 07:45:55,2021-01-25 15:12:08,5.0,0.0,0.0
5.0,2021-02-04 21:05:32,2021-02-04 20:43:40,1.0,0.0,0.0
4.5,2021-02-04 20:34:03,2019-07-04 23:23:27,1.0,0.0,0.0
5.0,2021-02-04 16:56:28,2021-02-04 14:41:29,10.0,0.0,0.0
4.0,2021-02-04 15:00:24,2020-10-13 03:10:07,10.0,0.0,0.0
4.0,2021-02-04 12:42:36,2021-02-01 15:40:13,1.0,0.0,0.0
5.0,2021-02-04 12:25:30,2020-11-30 19:23:54,85.0,0.0,4.0
4.5,2021-02-04 11:13:15,2021-01-08 08:05:42,10.0,0.0,0.0
5.0,2021-02-04 08:59:53,2021-02-02 18:14:49,1.0,0.0,0.0
5.0,2021-02-03 22:40:04,2020-08-01 22:30:42,35.0,0.0,0.0
5.0,2021-02-03 21:26:02,2021-02-01 09:54:49,5.0,0.0,0.0
5.0,2021-02-03 21:14:25,2021-02-01 18:45:00,1.0,0.0,0.0
5.0,2021-02-03 20:55:19,2021-02-03 20:00:04,10.0,0.0,0.0
3.0,2021-02-03 19:16:45,2021-02-03 18:42:21,1.0,0.0,0.0
5.0,2021-02-03 19:08:33,2020-03-29 09:07:41,93.0,1.0,0.0
5.0,2021-02-03 18:57:11,2020-03-19 19:28:43,1.0,0.0,0.0
2.5,2021-02-03 18:56:58,2021-02-01 09:23:31,5.0,0.0,0.0
5.0,2021-02-03 17:21:45,2021-01-28 20:46:12,5.0,0.0,0.0
5.0,2021-02-03 17:12:26,2019-07-25 08:04:26,35.0,0.0,0.0
5.0,2021-02-03 16:13:36,2021-02-02 07:15:55,5.0,0.0,0.0
4.0,2021-02-02 23:55:23,2021-02-02 17:47:41,1.0,0.0,0.0
5.0,2021-02-02 22:34:25,2021-01-19 22:29:49,5.0,0.0,0.0
5.0,2021-02-02 21:59:49,2021-01-03 19:42:39,35.0,0.0,0.0
5.0,2021-02-02 18:00:59,2021-01-27 13:11:18,1.0,0.0,0.0
5.0,2021-02-02 16:29:58,2021-02-02 16:10:52,15.0,0.0,0.0
5.0,2021-02-02 14:30:03,2020-04-04 22:14:15,25.0,0.0,0.0
5.0,2021-02-02 12:54:25,2021-02-02 09:07:03,15.0,0.0,0.0
5.0,2021-02-02 12:02:59,2020-09-20 12:26:30,1.0,0.0,0.0
5.0,2021-02-02 11:58:42,2021-02-02 10:07:22,20.0,0.0,0.0
5.0,2021-02-02 10:47:54,2020-08-20 19:14:01,5.0,0.0,0.0
5.0,2021-02-02 04:58:56,2021-01-31 14:58:49,15.0,0.0,0.0
5.0,2021-02-01 21:27:36,2021-01-24 17:58:23,65.0,0.0,0.0
5.0,2021-02-01 19:27:59,2021-02-01 12:08:22,1.0,0.0,0.0
4.5,2021-02-01 13:09:17,2021-02-01 11:14:17,10.0,0.0,0.0
5.0,2021-02-01 12:16:46,2021-02-01 06:15:18,40.0,0.0,0.0
4.5,2021-02-01 09:29:56,2021-01-29 08:29:31,15.0,0.0,0.0
5.0,2021-02-01 07:57:43,2020-11-22 16:09:36,1.0,0.0,0.0
5.0,2021-02-01 06:03:40,2021-01-30 10:23:03,1.0,0.0,0.0
5.0,2021-01-31 21:45:28,2021-01-31 21:29:47,1.0,0.0,0.0
5.0,2021-01-31 20:52:42,2019-11-18 11:37:06,0.0,0.0,0.0
3.5,2021-01-31 19:48:51,2020-12-21 16:29:26,20.0,0.0,0.0
4.5,2021-01-31 19:34:20,2021-01-07 23:14:52,5.0,0.0,0.0
5.0,2021-01-31 18:59:27,2021-01-13 09:37:26,5.0,0.0,0.0
3.5,2021-01-31 18:07:01,2021-01-25 10:17:43,1.0,0.0,0.0
5.0,2021-01-31 16:02:14,2021-01-06 10:56:43,35.0,0.0,0.0
5.0,2021-01-31 15:45:39,2021-01-30 12:58:11,15.0,0.0,0.0
4.5,2021-01-31 15:23:46,2019-09-26 09:11:42,1.0,0.0,0.0
5.0,2021-01-31 14:13:32,2021-01-31 11:01:52,10.0,0.0,0.0
4.5,2021-01-31 11:23:24,2021-01-18 20:24:40,20.0,0.0,0.0
5.0,2021-01-31 08:48:53,2020-04-05 03:00:25,5.0,0.0,0.0
5.0,2021-01-31 08:05:53,2020-06-19 09:33:06,15.0,0.0,0.0
5.0,2021-01-30 22:17:08,2020-12-20 14:12:51,15.0,0.0,0.0
5.0,2021-01-30 18:47:09,2020-12-02 13:50:48,10.0,0.0,0.0
4.0,2021-01-30 18:00:45,2021-01-30 15:57:15,5.0,0.0,0.0
5.0,2021-01-30 17:46:47,2020-12-11 18:14:02,15.0,0.0,0.0
5.0,2021-01-30 16:57:13,2021-01-25 21:45:33,25.0,0.0,0.0
5.0,2021-01-30 16:25:44,2020-12-19 14:24:20,10.0,0.0,0.0
3.0,2021-01-30 13:44:07,2021-01-30 13:29:10,5.0,0.0,0.0
5.0,2021-01-30 12:35:03,2021-01-29 15:04:39,20.0,0.0,0.0
5.0,2021-01-30 12:10:22,2021-01-08 13:01:12,10.0,0.0,0.0
5.0,2021-01-30 11:45:02,2020-10-01 22:02:51,10.0,0.0,0.0
5.0,2021-01-30 11:28:26,2021-01-28 11:56:46,25.0,0.0,0.0
5.0,2021-01-30 10:19:14,2021-01-27 17:39:07,10.0,0.0,0.0
5.0,2021-01-29 22:30:04,2021-01-25 11:14:11,12.0,0.0,0.0
5.0,2021-01-29 20:57:29,2021-01-25 12:44:46,5.0,0.0,0.0
4.0,2021-01-29 19:51:08,2021-01-29 15:07:15,10.0,0.0,0.0
5.0,2021-01-29 18:07:02,2020-10-21 14:07:39,15.0,0.0,0.0
5.0,2021-01-29 17:54:38,2021-01-24 19:57:27,40.0,0.0,0.0
5.0,2021-01-29 15:52:18,2021-01-29 14:50:13,10.0,0.0,0.0
5.0,2021-01-29 13:50:57,2021-01-25 12:33:50,5.0,0.0,0.0
5.0,2021-01-29 13:38:44,2020-11-18 12:17:20,25.0,0.0,0.0
3.5,2021-01-29 11:36:47,2021-01-29 07:34:41,10.0,1.0,0.0
4.5,2021-01-29 11:12:09,2021-01-29 10:48:00,30.0,0.0,0.0
5.0,2021-01-29 07:49:51,2020-12-24 09:02:22,1.0,0.0,0.0
5.0,2021-01-29 06:34:40,2020-12-11 15:27:55,25.0,0.0,0.0
4.5,2021-01-28 20:17:56,2020-08-21 05:03:49,5.0,0.0,0.0
5.0,2021-01-28 17:33:55,2020-12-16 16:24:54,10.0,0.0,0.0
