iter	Logloss
0	0.67876129
1	0.6653194882
2	0.6523758296
3	0.6409254994
4	0.6278092643
5	0.6171311772
6	0.6056403687
7	0.5945795337
8	0.5853982248
9	0.5774342056
10	0.5687093464
11	0.5607409591
12	0.5538222878
13	0.5475037639
14	0.5416149052
15	0.535766599
16	0.5299391947
17	0.5236361799
18	0.5181123282
19	0.5131307626
20	0.50841429
21	0.5043361938
22	0.5003514932
23	0.4965212956
24	0.4931276849
25	0.4897072365
26	0.4849491292
27	0.4808168651
28	0.4779759765
29	0.4754396152
30	0.4726367121
31	0.4696831187
32	0.4673166289
33	0.4644906068
34	0.4619513045
35	0.4596483886
36	0.457717558
37	0.4557065806
38	0.4534898832
39	0.4514628987
40	0.4497550863
41	0.4472626312
42	0.4454888421
43	0.4439533387
44	0.4417667394
45	0.4401882914
46	0.4388120985
47	0.4373567015
48	0.43605672
49	0.4342022023
50	0.4328178565
51	0.4316638149
52	0.4300761634
53	0.4291371966
54	0.427575444
55	0.4264274457
56	0.4255408912
57	0.4245885531
58	0.423478519
59	0.4226081853
60	0.4217265697
61	0.4209046722
62	0.4201113278
63	0.4189267404
64	0.4181545296
65	0.4172594344
66	0.4163745448
67	0.4155269806
68	0.4147980276
69	0.4141474637
70	0.4134696686
71	0.4126959144
72	0.4121323544
73	0.4114867201
74	0.4108958881
75	0.4102890376
76	0.4094090466
77	0.4088167867
78	0.4083554272
79	0.4078289317
80	0.4071776324
81	0.4067302394
82	0.4061696959
83	0.4056564279
84	0.4051256048
85	0.4046240499
86	0.4040832379
87	0.4035948802
88	0.4031153629
89	0.402609516
90	0.4023408735
91	0.4019297195
92	0.4015620176
93	0.4009852795
94	0.4005924443
95	0.4000981679
96	0.3994657656
97	0.3991247008
98	0.3988127816
99	0.3983993293
100	0.397913056
101	0.3975656722
102	0.397201071
103	0.3968143086
104	0.3963458294
105	0.3960619183
106	0.3958302108
107	0.3953854619
108	0.3948749822
109	0.3945259637
110	0.3942046924
111	0.3938855715
112	0.3935821221
113	0.3933546967
114	0.3930650716
115	0.3927795923
116	0.3922910433
117	0.3919257433
118	0.3917146446
119	0.3914558039
120	0.3911170173
121	0.3908411429
122	0.3905921646
123	0.3901202028
124	0.3898511969
125	0.3895307766
126	0.389177665
127	0.3888752292
128	0.3884987969
129	0.3880194383
130	0.3878331184
131	0.3875796529
132	0.3873610181
133	0.38731959
134	0.3870564478
135	0.3867776993
136	0.3864239015
137	0.3862014256
138	0.3861815367
139	0.385914665
140	0.3856238313
141	0.385363758
142	0.38516284
143	0.3848059892
144	0.3845974743
145	0.3844438154
146	0.3841227471
147	0.3840881556
148	0.3839505402
149	0.3837405041
150	0.3835169283
151	0.3832817916
152	0.3830837554
153	0.3827953925
154	0.3824850997
155	0.3823280035
156	0.3821324404
157	0.3818821227
158	0.3817002303
159	0.3814497885
160	0.3812211436
161	0.3810327286
162	0.380768866
163	0.380640242
164	0.3804488506
165	0.38024249
166	0.3800361254
167	0.3798183325
168	0.3796835254
169	0.3794299018
170	0.3792497192
171	0.3791909175
172	0.3790248064
173	0.3788800161
174	0.3787633578
175	0.3786802172
176	0.3784757228
177	0.3781679413
178	0.377945507
179	0.3776283057
180	0.3774441627
181	0.3773554098
182	0.377083041
183	0.3768838039
184	0.3767266748
185	0.3765204078
186	0.3763361496
187	0.3762027093
188	0.3760296114
189	0.3758811056
190	0.375664524
191	0.3754199819
192	0.3752188512
193	0.3751060849
194	0.3748700325
195	0.3746590817
196	0.3744748046
197	0.3742963109
198	0.3741154791
199	0.3740094685
200	0.3739096424
201	0.3737569741
202	0.3735784361
203	0.3734808053
204	0.3732917896
205	0.3731386558
206	0.3729596621
207	0.3728079147
208	0.3726442544
209	0.3724539269
210	0.372295041
211	0.372165351
212	0.3720357316
213	0.3718241511
214	0.3716983702
215	0.3714955282
216	0.3712552888
217	0.3711359966
218	0.3710187775
219	0.3709107797
220	0.3707904671
221	0.3705651385
222	0.3703532505
223	0.3701477371
224	0.3700246649
225	0.3699297228
226	0.3697886338
227	0.369661786
228	0.3693931164
229	0.3692207238
230	0.3690649397
231	0.3689231577
232	0.3687949807
233	0.3686037334
234	0.3684790256
235	0.3682888691
236	0.3681987782
237	0.3680931625
238	0.3679363707
239	0.3677940687
240	0.3676039963
241	0.3674222108
242	0.3671941776
243	0.3671320433
244	0.3669315928
245	0.3668074762
246	0.3666643988
247	0.3664862759
248	0.3663357103
249	0.3661551969
250	0.3660594551
251	0.36596348
252	0.3657922873
253	0.3656579457
254	0.3654765985
255	0.365386586
256	0.3652365077
257	0.3651846424
258	0.3650563991
259	0.3647776638
260	0.3646231229
261	0.3645216244
262	0.3644222927
263	0.364318134
264	0.3640849346
265	0.3639672781
266	0.3638103432
267	0.3636600013
268	0.363527517
269	0.3634497188
270	0.3633196986
271	0.3632135446
272	0.3629845529
