iter	Passed	Remaining
0	27	27688
1	38	19372
2	41	13851
3	44	10996
4	46	9307
5	49	8244
6	53	7524
7	56	6949
8	58	6443
9	60	6030
10	63	5707
11	66	5465
12	71	5436
13	82	5829
14	85	5590
15	98	6083
16	103	6010
17	106	5806
18	112	5784
19	114	5616
20	117	5468
21	120	5343
22	122	5212
23	125	5101
24	128	5025
25	141	5301
26	144	5215
27	147	5110
28	149	5005
29	151	4908
30	155	4849
31	169	5125
32	173	5073
33	184	5247
34	187	5166
35	190	5092
36	193	5040
37	196	4983
38	201	4974
39	205	4929
40	208	4884
41	212	4848
42	216	4809
43	243	5280
44	245	5219
45	249	5180
46	252	5115
47	254	5048
48	256	4984
49	259	4928
50	262	4876
51	264	4818
52	266	4764
53	268	4711
54	271	4669
55	302	5091
56	304	5039
57	307	4997
58	310	4954
59	316	4953
60	321	4956
61	327	4952
62	333	4966
63	350	5119
64	353	5078
65	363	5146
66	375	5226
67	378	5184
68	380	5139
69	383	5100
70	386	5059
71	389	5021
72	392	4984
73	395	4943
74	397	4901
75	400	4863
76	403	4837
77	409	4838
78	412	4811
79	415	4781
80	419	4759
81	423	4735
82	426	4715
83	429	4682
84	432	4652
85	435	4623
86	437	4595
87	440	4568
88	444	4546
89	450	4558
90	455	4547
91	458	4524
92	461	4498
93	464	4476
94	477	4551
95	507	4776
96	521	4853
97	524	4823
98	526	4793
99	529	4764
100	532	4736
101	534	4708
102	537	4680
103	540	4652
104	542	4626
105	545	4604
106	550	4593
107	567	4689
108	571	4674
109	574	4647
110	577	4624
111	581	4609
112	585	4593
113	593	4615
114	596	4590
115	598	4564
116	601	4539
117	603	4512
118	609	4513
119	613	4499
120	622	4519
121	624	4493
122	626	4469
123	629	4448
124	637	4463
125	639	4438
126	642	4415
127	644	4392
128	647	4369
129	649	4345
130	652	4326
131	657	4321
132	668	4356
133	669	4329
134	672	4308
135	674	4288
136	677	4266
137	679	4244
138	680	4216
139	684	4203
140	688	4195
141	691	4177
142	694	4159
143	696	4140
144	698	4121
145	701	4102
146	704	4086
147	705	4061
148	707	4042
149	710	4028
150	716	4026
151	727	4058
152	730	4042
153	733	4029
154	736	4013
155	740	4007
156	745	4001
157	747	3985
158	752	3977
159	754	3962
160	774	4038
161	780	4035
162	782	4019
163	784	4001
164	802	4061
165	818	4114
166	821	4097
167	824	4080
168	827	4069
169	834	4072
170	836	4054
171	838	4034
172	848	4054
173	862	4095
174	865	4078
175	878	4111
176	894	4156
177	897	4145
178	900	4129
179	902	4113
180	906	4100
181	909	4088
182	912	4075
183	915	4059
184	918	4048
185	921	4034
186	927	4031
187	930	4017
188	933	4005
189	936	3990
190	939	3978
191	956	4027
192	959	4013
193	962	3999
194	967	3994
195	970	3979
196	972	3965
197	975	3950
198	977	3934
199	979	3919
200	984	3915
201	1013	4004
202	1016	3991
203	1019	3976
204	1021	3962
205	1024	3950
206	1028	3940
207	1056	4022
208	1058	4007
209	1061	3992
210	1063	3978
211	1066	3962
212	1068	3948
213	1071	3934
214	1087	3971
215	1117	4054
216	1134	4093
217	1138	4082
218	1141	4072
219	1163	4124
220	1166	4111
221	1169	4097
222	1171	4083
223	1174	4068
224	1177	4054
225	1179	4040
226	1183	4028
227	1186	4017
228	1189	4005
229	1192	3991
230	1195	3979
231	1197	3964
232	1200	3950
233	1207	3953
234	1210	3939
235	1212	3924
236	1214	3911
237	1217	3897
238	1220	3885
239	1238	3921
240	1241	3908
241	1243	3894
242	1245	3880
243	1247	3866
244	1250	3852
245	1252	3839
246	1284	3916
247	1287	3903
248	1290	3892
249	1293	3879
250	1296	3867
251	1298	3855
252	1301	3842
253	1304	3831
254	1307	3818
255	1309	3806
256	1331	3850
257	1336	3843
258	1343	3843
259	1358	3865
260	1360	3851
261	1362	3838
262	1365	3826
263	1368	3814
264	1370	3801
265	1389	3833
266	1391	3820
267	1394	3808
268	1397	3796
269	1399	3784
270	1402	3771
271	1405	3763
272	1409	3753
273	1412	3741
274	1415	3730
275	1417	3719
276	1423	3715
277	1434	3726
278	1437	3714
279	1439	3702
280	1442	3691
281	1445	3679
282	1464	3709
283	1466	3697
284	1468	3683
285	1470	3671
286	1473	3659
287	1475	3648
288	1478	3637
289	1481	3626
290	1483	3614
291	1486	3603
292	1488	3592
293	1490	3578
294	1494	3571
295	1498	3563
296	1507	3567
297	1509	3557
298	1512	3546
299	1515	3537
300	1518	3525
301	1523	3520
302	1535	3532
303	1538	3521
304	1540	3510
305	1543	3499
306	1545	3489
307	1549	3480
308	1555	3478
309	1558	3468
310	1560	3458
311	1563	3447
312	1565	3436
313	1568	3426
314	1570	3415
315	1573	3404
316	1575	3394
317	1581	3391
318	1586	3386
319	1593	3386
320	1596	3377
321	1599	3367
322	1601	3357
323	1604	3348
324	1608	3340
325	1611	3331
326	1615	3324
327	1616	3312
328	1637	3339
329	1640	3329
330	1642	3320
331	1646	3312
332	1651	3307
333	1656	3302
334	1660	3297
335	1665	3290
336	1668	3282
337	1673	3277
338	1677	3270
339	1684	3270
340	1691	3268
341	1693	3259
342	1697	3251
343	1700	3242
344	1703	3234
345	1705	3224
346	1708	3214
347	1711	3205
348	1713	3196
349	1716	3187
350	1718	3177
351	1721	3168
352	1723	3159
353	1727	3151
354	1729	3143
355	1757	3178
356	1761	3172
357	1764	3164
358	1767	3155
359	1769	3146
360	1772	3137
361	1775	3129
362	1778	3120
363	1781	3111
364	1782	3101
365	1785	3092
366	1788	3084
367	1790	3075
368	1793	3066
369	1795	3057
370	1799	3050
371	1803	3044
372	1805	3035
373	1807	3026
374	1810	3017
375	1813	3009
376	1815	3000
377	1819	2993
378	1823	2987
379	1828	2983
380	1832	2976
381	1836	2971
382	1844	2971
383	1847	2964
384	1851	2957
385	1858	2956
386	1861	2948
387	1864	2941
388	1869	2935
389	1871	2927
390	1875	2921
391	1878	2913
392	1882	2907
393	1886	2901
394	1890	2896
395	1898	2895
396	1903	2891
397	1907	2885
398	1911	2879
399	1914	2872
400	1917	2864
401	1921	2858
402	1924	2851
403	1929	2846
404	1932	2839
405	1937	2835
406	1941	2829
407	1944	2821
408	1949	2816
409	1974	2841
410	1979	2837
411	1982	2829
412	1986	2823
413	1989	2815
414	1991	2807
415	1995	2800
416	1998	2793
417	2003	2789
418	2008	2784
419	2011	2778
420	2015	2772
421	2018	2765
422	2022	2758
423	2025	2751
424	2029	2745
425	2034	2741
426	2037	2734
427	2041	2728
428	2045	2722
429	2050	2718
430	2054	2712
431	2058	2706
432	2061	2699
433	2064	2692
434	2067	2685
435	2071	2680
436	2076	2675
437	2079	2668
438	2082	2661
439	2086	2655
440	2090	2649
441	2093	2642
442	2097	2637
443	2101	2631
444	2130	2657
445	2133	2650
446	2137	2644
447	2140	2637
448	2144	2632
449	2148	2625
450	2151	2619
451	2160	2619
452	2164	2613
453	2166	2606
454	2170	2599
455	2173	2592
456	2178	2588
457	2190	2591
458	2192	2584
459	2195	2577
460	2198	2570
461	2201	2563
462	2204	2556
463	2207	2550
464	2210	2543
465	2213	2536
